payout_id,gateway,utr_number,linked_invoice_id,gross_amount,fee_amount,net_amount,payout_date,status
PAYOUT-CAS-00025,Cashfree,UTR852493720587,INV-2025030,23582.79,553.43,23029.36,2025-07-05,Settled
PAYOUT-CAS-00026,Cashfree,UTR159468562624,INV-2025030,44450.82,981.28,43469.54,2025-07-04,Settled
PAYOUT-STR-00027,Stripe,UTR465087448782,INV-2025031,219277.36,5835.16,213442.2,2025-05-21,Settled
PAYOUT-CAS-00028,Cashfree,UTR875463562649,INV-2025032,80730.9,1393.59,79337.31,2025-04-26,Settled
PAYOUT-STR-00029,Stripe,UTR859707157168,INV-2025032,83645.61,1911.53,81734.08,2025-04-20,Settled
PAYOUT-CAS-00030,Cashfree,UTR239284873367,INV-2025034,62786.94,1453.84,61333.1,2025-04-28,Settled
PAYOUT-CAS-00031,Cashfree,UTR494702875840,INV-2025035,66791.29,1842.49,64948.8,2025-06-01,Settled
PAYOUT-PAY-00032,PayU,UTR717530897084,INV-2025036,224608.99,5466.32,219142.67,2025-03-19,Settled
PAYOUT-PAY-00033,PayU,UTR279807112340,INV-2025038,124138.68,3471.0,120667.68,2025-08-15,Settled
PAYOUT-STR-00034,Stripe,UTR837884981282,INV-20,106406.75,1633.03,104773.72,2025-07-20,Settled
PAYOUT-CAS-00035,Cashfree,UTR142400633488,INV-20,63976.41,1102.23,62874.18,2025-02-12,Settled
PAYOUT-STR-00036,Stripe,UTR126727253143,INV-2025044,221369.93,4404.2,216965.73,2025-04-23,Settled
PAYOUT-STR-00037,Stripe,UTR950261314384,INV-2025045,86033.61,1685.89,84347.72,2025-03-31,Settled
PAYOUT-STR-00038,Stripe,UTR224672594992,INV-2025046,40802.2,1000.19,39802.01,2025-03-22,Settled
PAYOUT-CAS-00039,Cashfree,UTR479823559180,INV-2025048,190847.61,2964.93,187882.68,2025-03-07,Settled
PAYOUT-RAZ-00040,Razorpay,UTR379989256365,INV-2025049,85845.08,1750.62,84094.46,2025-07-25,Settled
PAYOUT-RAZ-00041,Razorpay,UTR691874457344,INV-2025049,131978.78,3289.31,128689.47,2025-07-16,Settled
PAYOUT-PAY-00042,PayU,UTR834219825197,INV-2025050,127654.23,2565.74,125088.49,2025-03-30,Settled
PAYOUT-RAZ-00043,Razorpay,UTR441480490974,INV-2025052,238444.69,5979.37,232465.32,2025-01-29,Settled
PAYOUT-CAS-00044,Cashfree,UTR239820136955,INV-2025053,150337.73,3102.01,147235.72,2025-04-13,Settled
PAYOUT-STR-00045,Stripe,UTR725413874351,INV-2025054,29299.13,717.31,28581.82,2025-01-28,Settled
PAYOUT-RAZ-00046,Razorpay,UTR965134782024,INV-2025055,61003.9,1174.58,59829.32,2025-04-06,Settled
PAYOUT-CAS-00047,Cashfree,UTR334830030878,INV-2025056,236816.94,5093.89,231723.05,2025-08-13,Settled
PAYOUT-PAY-00048,PayU,UTR828063322537,INV-2025057,122268.63,2961.82,119306.81,2025-04-04,Settled
PAYOUT-CAS-00049,Cashfree,UTR442192051776,INV-2025058,191809.86,3127.92,188681.94,2025-06-08,Settled
PAYOUT-PAY-00050,PayU,UTR772055593219,INV-2025059,119607.67,2040.86,117566.81,2025-03-10,Settled
PAYOUT-RAZ-00051,Razorpay,UTR867589450881,,67366.57,1440.02,65926.55,2025-08-05,Settled
