txn_id,txn_date,description,txn_type,amount,balance
TXN000053,2025-03-05,NEFT-HDFC0000123-OFFICE RENT-AUG,DR,50116.1,2007710.87
TXN000005,2025-03-07,NEFT/KKBK0000456/PayU/UTR693625626938  txn charges incl,CR,176039.86,2183750.73
TXN000017,2025-03-07,NEFT-YESB0000001-PAYU SETTLEMENT-UTR736712646676,CR,69118.83,2252869.56
TXN000039,2025-03-07,  IMPS-UTR479823559180-Cashfree   ,CR,187882.68,2440752.24
TXN000050,2025-03-10,UPI/UTR772055593219/payusettlement/83147,CR,117566.81,2558319.05
TXN000018,2025-03-11,IMPS/UTR673658281523/razorpaysettlement/37742,CR,41044.71,2599363.76
TXN000032,2025-03-19,imps/p2a/21359/payu payouts pvt ltd/utr717530897084,CR,219142.67,2818506.43
TXN000038,2025-03-22,  NEFT-UTR224672594992-Stripe   ,CR,39802.01,2858308.44
TXN000042,2025-03-30,  NEFT-UTR834219825197-PayU   ,CR,125088.49,2983396.93
TXN000037,2025-03-31,UPI/CR/12260/STRIPE/UTR950261314384,CR,84347.72,3067744.65
TXN000048,2025-04-04,UPI/UTR828063322537/payusettlement/18564,CR,119306.81,3187051.46
TXN000046,2025-04-06,NEFT/YESB0000001/RAZORPAY/UTR965134782024  TXN CHARGES INCL,CR,59829.32,3246880.78
TXN000044,2025-04-13,upi/cr/49618/cashfree/utr239820136955,CR,147235.72,3394116.5
TXN000063,2025-04-18,GST-AUTODEBIT-CHALLAN,CR,8547.07,3402663.57
TXN000029,2025-04-20,IMPS/P2A/66822/Stripe Payouts Pvt Ltd/UTR859707157168,CR,81734.08,3484397.65
TXN000036,2025-04-23,NEFT-YESB0000001-STRIPE SETTLEMENT-UTR126727253143,CR,216965.73,3701363.38
TXN000028,2025-04-26,  UPI-UTR875463562649-Cashfree   ,CR,79337.31,3780700.69
TXN000057,2025-04-27,  upi/dr/26299/razorpay/settlement  ,DR,63451.76,3717248.93
TXN000030,2025-04-28,  RTGS-UTR239284873367-Cashfree   ,CR,61333.1,3778582.03
TXN000065,2025-05-06,BANK CHARGES-QUARTERLY AMC FEE,CR,66029.19,3844611.22
TXN000019,2025-05-16,IMPS/P2A/65255/Cashfree Payouts Pvt Ltd/UTR388787957213,CR,165037.42,4009648.64
TXN000027,2025-05-21,UPI/CR/84177/Stripe/UTR465087448782,CR,213442.2,4223090.84
TXN000060,2025-05-23,UPI/DR/85392/BrookeLeonard/paytm,DR,76960.51,4146130.33
TXN000022,2025-05-28,  NEFT-UTR410824752082-CASHFREE   ,CR,113190.98,4259321.31
TXN000031,2025-06-01,RTGS/UTR494702875840/cashfreesettlement/70931,CR,64948.8,4324270.11
TXN000020,2025-06-06,NEFT-KKBK0000456-CASHFREE SETTLEMENT-UTR602551183219,CR,18831.69,4343101.8
TXN000049,2025-06-08,neft/hdfc0000123/cashfree/utr442192051776  txn charges incl,CR,188681.94,4531783.74
TXN000012,2025-06-09,upi/cr/72518/payu/utr541800309361,CR,135812.8,4667596.54
TXN000001,2025-06-17,NEFT-YESB0000001-PAYU SETTLEMENT-UTR442364508902,CR,28348.99,4695945.53
TXN000009,2025-06-27,neft-hdfc0000123-razorpay settlement-utr591929601508,CR,21280.24,4717225.77
TXN000010,2025-06-28,UPI/UTR372569912085/payusettlement/64377,CR,18069.89,4735295.66
TXN000026,2025-07-04,  upi-utr159468562624-cashfree   ,CR,43469.54,4778765.2
TXN000024,2025-07-05,IMPS/P2A/31465/CASHFREE PAYOUTS PVT LTD/UTR225689924079,CR,79782.24,4858547.44
TXN000025,2025-07-05,  IMPS-UTR852493720587-Cashfree   ,CR,23029.36,4881576.8
TXN000055,2025-07-05,BANK CHARGES-QUARTERLY AMC FEE,DR,56615.08,4824961.72
TXN000061,2025-07-06,GST-AUTODEBIT-CHALLAN,DR,37745.97,4787215.75
TXN000062,2025-07-09,RTGS/YESB0000001/VENDOR PAYMENT/HICKMAN-WALLS,CR,65176.75,4852392.5
TXN000004,2025-07-10,RTGS/UTR173997741524/razorpaysettlement/27477,CR,145866.5,4998259.0
TXN000007,2025-07-14,imps/utr552790822417/razorpaysettlement/78327,CR,197734.28,5195993.28
TXN000041,2025-07-16,  IMPS-UTR691874457344-Razorpay   ,CR,128689.47,5324682.75
TXN000034,2025-07-20,IMPS/P2A/56507/Stripe Payouts Pvt Ltd/UTR837884981282,CR,104773.72,5429456.47
TXN000040,2025-07-25,IMPS/P2A/50189/RAZORPAY PAYOUTS PVT LTD/UTR379989256365,CR,84094.46,5513550.93
TXN000051,2025-08-05,RTGS/UTR867589450881/RAZORPAYSETTLEMENT/69049,CR,65926.55,5579477.48
TXN000047,2025-08-13,neft-yesb0000001-cashfree settlement-utr334830030878,CR,231723.05,5811200.53
TXN000033,2025-08-15,UPI/CR/54092/PayU/UTR279807112340,CR,120667.68,5931868.21
TXN000011,2025-08-26,NEFT/UTR116475613040/razorpaysettlement/65069,CR,208770.6,6140638.81
