invoice_id,customer_name,po_number,invoice_amount,invoice_date,due_date,status
INV-2025024,Morales-Jones,PO-93227,19243.52,2025-06-04,2025-07-19,Paid
INV-2025025,"Walter, Edwards and Rios",PO-42087,134233.76,2025-01-07,2025-01-22,Paid
INV-2025026,Wilkerson-Day,PO-45382,116371.66,2025-05-24,2025-06-08,Paid
INV-2025027,Baker and Sons,PO-38785,172508.25,2025-02-20,2025-04-06,Paid
INV-2025028,"Hoffman, Baker and Richards",PO-17331,82084.26,2025-07-03,2025-08-17,Paid
INV-2025029,"Ross, Robinson and Bright",PO-51347,205717.94,2025-06-16,2025-07-01,Overdue
INV-2025030,"Snyder, Campos and Callahan",PO-37653,68033.61,2025-06-29,2025-07-29,Paid
INV-2025031,Burton Ltd,PO-51245,219277.36,2025-05-20,2025-07-04,Paid
INV-2025032,Carlson-Cruz,PO-61856,164376.51,2025-04-18,2025-05-03,Paid
INV-2025033,"Ferrell, Rice and Maddox",PO-44718,115524.69,2025-02-26,2025-04-12,Overdue
INV-2025034,Frazier Inc,PO-83579,62786.94,2025-04-25,2025-05-10,Paid
INV-2025035,"Dyer, Potter and Mack",PO-86622,66791.29,2025-05-31,2025-07-15,Paid
INV-2025036,Rodriguez-Graham,PO-62350,224608.99,2025-03-13,2025-04-12,Paid
INV-2025037,Smith-Bowen,PO-28131,56001.21,2025-07-27,2025-08-26,Overdue
INV-2025038,"Baker, Mason and White",PO-16175,124138.68,2025-08-11,2025-09-25,Paid
INV-2025039,Harrell LLC,PO-30969,39481.07,2025-01-02,2025-01-17,Overdue
INV-2025040,"Romero, Gonzalez and Brooks",PO-18326,106406.75,2025-07-14,2025-08-28,Paid
INV-2025041,Ryan PLC,PO-71348,96332.39,2025-07-26,2025-08-25,Overdue
INV-2025042,George Group,PO-82512,63976.41,2025-02-10,2025-03-27,Paid
INV-2025043,Rodriguez LLC,PO-25014,170550.43,2025-06-28,2025-07-13,Overdue
INV-2025044,Allen-Allen,PO-44973,221369.93,2025-04-19,2025-06-03,Paid
INV-2025045,"Arroyo, Miller and Tucker",PO-48469,86033.61,2025-03-29,2025-05-13,Paid
INV-2025046,Spence PLC,PO-10425,40802.2,2025-03-13,2025-04-12,Paid
INV-2025047,Anderson Group,PO-44522,219149.46,2025-02-09,2025-03-26,Overdue
INV-2025048,"Martin, Rose and Obrien",PO-76542,190847.61,2025-02-25,2025-04-11,Paid
INV-2025049,Hickman Ltd,PO-49117,217823.86,2025-07-15,2025-07-30,Paid
INV-2025050,"Harris, Collins and Carney",PO-36071,127654.23,2025-03-28,2025-05-12,Paid
INV-2025051,"Brooks, Lam and Hayes",PO-31174,94417.59,2025-01-27,2025-02-11,Overdue
INV-2025052,Walker LLC,PO-79514,238444.69,2025-01-24,2025-03-10,Paid
INV-2025053,Chapman and Sons,PO-74042,150337.73,2025-04-08,2025-04-23,Paid
INV-2025054,"Robinson, Jones and Welch",PO-57576,29299.13,2025-01-25,2025-02-09,Paid
INV-2025055,Jones Inc,PO-41571,61003.9,2025-04-02,2025-05-02,Paid
INV-2025056,Jones-Young,PO-21226,236816.94,2025-08-05,2025-09-19,Paid
INV-2025057,"Washington, Ryan and Cummings",PO-19071,122268.63,2025-03-30,2025-05-14,Paid
INV-2025058,"Johnston, Sanchez and Kennedy",PO-26828,191809.86,2025-06-04,2025-07-19,Paid
INV-2025059,Lee-Davis,PO-82063,119607.67,2025-03-09,2025-04-23,Paid
INV-2025060,Gomez-Jenkins,PO-89507,67366.57,2025-07-26,2025-08-10,Paid
